w,Operational,Kutir,Cluster,State,Tehsil,District,Block,Inauguration,Type of Kutir,Tribes,Close Date
388,376,Parond,Sesaipura,M.P,Karahal,Sheopur,Karahal,26-Sep-2021,Shiksha Kutir,Sahariya (ST),
389,377,Karwani,Chunakhal,M.P,Khalwa,Khandwa,Khalwa,26-Sep-2021,Seva kutir,"Gond,Korku,Barela Bhil,Bhilala(ST) & Harijan(SC)",
390,,Chimaipur,,M.P,Khalwa,Khandwa,Khalwa,26-Sep-2021,Closed,"Gond,Korku (ST)",
391,378,Udiyapur Raiyat,Junapani,M.P,Khalwa,Khandwa,Khalwa,26-Sep-2021,Shiksha Kutir,"Gond,Korku (ST)",
392,379,Jamoda,Junapani,M.P,Khalwa,Khandwa,Khalwa,26-Sep-2021,Study Center,"Gond,Korku,Barela Bhil (ST)",
393,380,Garbedi,Chunakhal,M.P,Khalwa,Khandwa,Khalwa,26-Sep-2021,Shiksha Kutir,"Gond,Korku,Bhilala,Barela Bhil (ST)",
394,381,Popati,Nishana,M.P,Bhainsdehi,Betul,Bhimpur,27-Sep-2021,Seva kutir,Gond (ST) & OBC,
395,382,Jogli Palanga,Hidali,M.P,Bhimpur,Betul,Bhimpur,27-Sep-2021,Shiksha Kutir,Gond (ST) & OBC,
396,383,Salargondi,Bijapuri,M.P,Pushprajgarh,Anuppur,Pushprajgarh,27-Sep-2021,Study Center,"Baiga,Gond,Panika (ST) & OBC",
397,384,Bijapuri,Bijapuri,M.P,Pushprajgarh,Anuppur,Pushprajgarh,27-Sep-2021,Study Center,Gond (ST) & Raidas (SC) & OBC,
398,385,Uphari Khurd,Bijapuri,M.P,Pushprajgarh,Anuppur,Pushprajgarh,27-Sep-2021,Study Center,"Gond,Agariya (ST) & OBC",
399,386,Sarai Patera,Bijapuri,M.P,Pushprajgarh,Anuppur,Pushprajgarh,27-Sep-2021,Study Center,"Baiga,Gond (ST) & OBC",
400,387,Kundali,Churikala,M.P,Harrai,Chhindwara,Harrai,27-Sep-2021,Study Center,Gond(ST),
401,388,Pipriyakala,Dungariya,M.P,Harrai,Chhindwara,Harrai,27-Sep-2021,Shiksha Kutir,Gond (ST) & OBC,
402,389,Anchalkund,Palani,M.P,Harrai,Chhindwara,Harrai,27-Sep-2021,Shiksha Kutir,Gond (ST) & OBC,
403,390,Churikala,Churikala,M.P,Harrai,Chhindwara,Harrai,27-Sep-2021,Shiksha Kutir,Gond (ST) & Mehra (SC) & OBC,
404,391,Sambhardoh,Churikala,M.P,Harrai,Chhindwara,Harrai,27-Sep-2021,Shiksha Kutir,Gond (ST) & Katiya (SC),
405,392,Dungariya,Dungariya,M.P,Harrai,Chhindwara,Harrai,27-Sep-2021,Study Center,Gond(ST),
406,393,Bandhali,Aawda,M.P,Karahal,Sheopur,Karahal,27-Sep-2021,Seva kutir,Sahariya (ST) & Jatav (SC) & OBC,
407,394,Bardha Khurd,Aawda,M.P,Karahal,Sheopur,Karahal,27-Sep-2021,Seva kutir,Sahariya (ST) & Jatav (SC) & OBC,
408,395,Mar ka Tapra,Heerapur,M.P,Karahal,Sheopur,Karahal,28-Sep-2021,Seva kutir,Sahariya (ST),
409,396,Heerapur,Heerapur,M.P,Karahal,Sheopur,Karahal,28-Sep-2021,Seva kutir,Sahariya (ST),
410,397,Ghopatpur,Pathariya,M.P,Bajag,Dindori,Bajag,29-Sep-2021,Shiksha Kutir,Gond (ST) & OBC,
411,398,Pathariya,Pathariya,M.P,Bajag,Dindori,Bajag,29-Sep-2021,Shiksha Kutir,Gond (ST) & OBC,
412,399,Kukariya,Pathariya,M.P,Bajag,Dindori,Bajag,29-Sep-2021,Shiksha Kutir,Gond (ST) & OBC,
413,400,Lamantola,Pathariya,M.P,Bajag,Dindori,Bajag,29-Sep-2021,Shiksha Kutir,Gond (ST) & OBC,
414,401,Sarsilla,Bhela,M.P,Karahal,Sheopur,Karahal,30-Sep-2021,Shiksha Kutir,Sahariya (ST) & OBC,
415,402,Malipura,Aawda,M.P,Karahal,Sheopur,Karahal,30-Sep-2021,Shiksha Kutir,Sahariya (ST) & Bairva (SC) & OBC,
416,403,Mojbadi,Junapani,M.P,Khalwa,Khandwa,Khalwa,30-Sep-2021,Study Center,"Gond,Korku (ST)",
417,404,Sukawi,Junapani,M.P,Khalwa,Khandwa,Khalwa,30-Sep-2021,Study Center,"Gond,Korku (ST) & Harijan (SC) & OBC",
418,405,Padri Khar,Badhar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,30-Sep-2021,Study Center,"Gond,Panika (ST) & OBC",
419,406,Jarhi,Tarang,M.P,Pushprajgarh,Anuppur,Pushprajgarh,30-Sep-2021,Study Center,"Gond,Panika (ST) & Raidas (SC) & OBC",
420,407,Adhwar,Tarang,M.P,Pushprajgarh,Anuppur,Pushprajgarh,30-Sep-2021,Study Center,Gond (ST) & OBC,
421,408,Hathbandha,Tarang,M.P,Pushprajgarh,Anuppur,Pushprajgarh,30-Sep-2021,Study Center,"Baiga,Gond(ST) & OBC",
422,409,Palani,Palani,M.P,Harrai,Chhindwara,Harrai,2-Oct-2021,Shiksha Kutir,Gond (ST) & Katiya (SC),
423,410,Manakwadi,Palani,M.P,Harrai,Chhindwara,Harrai,2-Oct-2021,Shiksha Kutir,"Gond,Pardhan (ST) & Mehra(SC) & OBC",
424,411,Neelkonha,Silpidi,M.P,Bajag,Dindori,Bajag,9-Oct-2021,Study Center,Gond (ST) & OBC,
425,412,Bhursi Mal,Silpidi,M.P,Bajag,Dindori,Bajag,9-Oct-2021,Study Center,Gond (ST) & OBC,
426,413,Chouratola,Dhanoli,M.P,Bajag,Dindori,Bajag,9-Oct-2021,Study Center,Gond (ST) & OBC,
427,414,Bartola,Dhanoli,M.P,Bajag,Dindori,Bajag,9-Oct-2021,Study Center,Gond (ST) & OBC,
428,415,Dahiyar,Dungariya,M.P,Harrai,Chhindwara,Harrai,10-Oct-2021,Shiksha Kutir,"Gond,Pardhan (ST) & OBC",
429,416,Sarekadhana,Belpathar,M.P,Harrai,Chhindwara,Harrai,10-Oct-2021,Shiksha Kutir,"Bhariya,Gond,Pardhan (ST) & Katiya (SC) & OBC",
430,417,Bijlidaihan,Silpidi,M.P,Bajag,Dindori,Bajag,17-Oct-2021,Study Center,"Baiga,Gond (ST)",
431,418,Tiklikhairo,Silpidi,M.P,Bajag,Dindori,Bajag,17-Oct-2021,Shiksha Kutir,Baiga(ST),
432,419,Tala Mal,Dhanoli,M.P,Bajag,Dindori,Bajag,17-Oct-2021,Study Center,"Baiga,Gond (ST) & OBC",
433,420,Buchva,Dhanoli,M.P,Bajag,Dindori,Bajag,17-Oct-2021,Study Center,Gond (ST),
434,421,Bhati Bahara,Badhar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,17-Oct-2021,Study Center,"Baiga,Gond (ST) & OBC",
435,422,Badhar,Badhar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,17-Oct-2021,Study Center,"Baiga,Gond,Agariya (ST) & OBC",
436,423,Bhura Tola,Bijapuri,M.P,Pushprajgarh,Anuppur,Pushprajgarh,17-Oct-2021,Study Center,Gond (ST) & OBC,
437,424,Amarpur,Badhar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,20-Oct-2021,Study Center,Gond (ST) & OBC,
438,,Garjanbija,,M.P,Pushprajgarh,Anuppur,Pushprajgarh,20-Oct-2021,Closed,Baiga (ST) & OBC,
439,425,Ghogra,Nishana,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,Gond (ST) & OBC,
440,426,Shikaridhana,Jamu,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,Korku (ST) & Harijan (SC),
441,427,Gullardhana,Jamu,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
442,428,Jamu,Jamu,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
443,429,Gorkhidhana,Jamu,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
444,430,Ringdhana,Jamu,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,Korku (ST) & OBC,
445,431,Imalipani,Lakhajhiri,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Seva kutir,Korku (ST) & OBC,
446,432,Sadakdhana,Lakhajhiri,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,"Gond,Korku (ST)",
447,433,Sonajidhana,Lakhajhiri,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Seva kutir,Korku (ST),
448,434,Lohardhana,Jamu,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,Korku (ST),
449,435,Rambha,Lakhajhiri,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Seva kutir,"Gond,Korku (ST)",
450,436,Jhangripani,Lakhajhiri,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Seva kutir,Korku (ST),
451,437,Godadiya,Lakhajhiri,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Seva kutir,Korku (ST),
452,438,Dodapokharni,Majarvani,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,"Gond,Korku (ST) & Mehra(SC) ",
453,439,Umandla,Majarvani,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,"Gond,Korku (ST) & Mehra(SC) & OBC",
454,440,Kokadhana,Lakhajhiri,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,"Gond,Korku (ST)",
455,441,Dhodra,Lakhajhiri,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Shiksha Kutir,"Gond,Korku (ST) & Mehra(SC) & OBC",
456,442,Chohta,Nishana,M.P,Bhainsdehi,Betul,Bhimpur,22-Oct-2021,Seva kutir,"Gond,Korku (ST) & Balai (SC) & OBC",
457,443,Kamtha,Champakheda,M.P,Harrai,Chhindwara,Harrai,24-Oct-2021,Shiksha Kutir,Bhariya (ST),
458,444,Salebarru,Churikala,M.P,Harrai,Chhindwara,Harrai,24-Oct-2021,Study Center,Gond (ST),
459,445,Jakhda Jageer,Tongra,M.P,Baroda,Sheopur,Karahal,25-Oct-2021,Seva kutir,Sahariya (ST) & OBC,
460,446,Moojhri,Tongra,M.P,Baroda,Sheopur,Karahal,25-Oct-2021,Shiksha Kutir,Sahariya (ST) & Jatav (SC),
461,447,Salmanya,Pyaripura,M.P,Karahal,Sheopur,Karahal,25-Oct-2021,Shiksha Kutir,Sahariya (ST) & Jatav (SC) & OBC,
462,448,Bukhari,Aawda,M.P,Karahal,Sheopur,Karahal,25-Oct-2021,Seva kutir,Sahariya (ST) & Jatav (SC) & OBC,
463,449,Rauhal,Rauhal,M.P,Kusmi,Sidhi,Kusmi,25-Oct-2021,Shiksha Kutir,"Gond,Agariya,Baiga (ST) & Saket,Prajapati (SC) & OBC",
464,450,Naudiya,Rauhal,M.P,Kusmi,Sidhi,Kusmi,25-Oct-2021,Shiksha Kutir,"Baiga,Gond(ST) & OBC",
465,451,Bhaluchua,Badhar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,26-Oct-2021,Study Center,"Gond,Agariya (ST) & OBC",
466,452,Parsel Kala,Badhar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,26-Oct-2021,Study Center,"Gond,Panika (ST) & OBC",
467,453,Kharahil Tola,Jalda,M.P,Bajag,Dindori,Bajag,26-Oct-2021,Shiksha Kutir,Baiga (ST),
468,454,Bouna,Jalda,M.P,Bajag,Dindori,Bajag,26-Oct-2021,Shiksha Kutir,"Baiga,Gond(ST) & OBC",
469,455,Angai,Dhanoli,M.P,Bajag,Dindori,Bajag,26-Oct-2021,Shiksha Kutir,"Baiga,Gond(ST) & OBC",
470,456,Bharratola,Dhanoli,M.P,Bajag,Dindori,Bajag,26-Oct-2021,Shiksha Kutir,Gond (ST) & OBC,
471,457,Barsod,Karbematta,M.P,Bajag,Dindori,Bajag,26-Oct-2021,Shiksha Kutir,Gond (ST) & OBC,
472,458,Dhana,Majarvani,M.P,Bhainsdehi,Betul,Bhimpur,27-Oct-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
473,459,Gadagohan,Majarvani,M.P,Bhainsdehi,Betul,Bhimpur,27-Oct-2021,Shiksha Kutir,"Gond,Korku (ST) & Balai (SC) & OBC",
474,460,Sotkheda,Nishana,M.P,Bhimpur,Betul,Bhimpur,28-Oct-2021,Shiksha Kutir,Korku (ST),
475,461,Indira Colony,Lahroni,M.P,Karahal,Sheopur,Karahal,29-Oct-2021,Shiksha Kutir,Sahariya (ST),
476,462,Pali,Lahroni,M.P,Karahal,Sheopur,Karahal,29-Oct-2021,Seva kutir,"Sahariya ,Pateliya (ST)",
477,463,Subkara,Pyaripura,M.P,Baroda,Sheopur,Karahal,30-Oct-2021,Shiksha Kutir,Sahariya (ST) & OBC,
478,464,Latavani,Pyaripura,M.P,Baroda,Sheopur,Karahal,30-Oct-2021,Shiksha Kutir,Sahariya (ST) & OBC,
479,465,Pyaripura,Pyaripura,M.P,Baroda,Sheopur,Karahal,30-Oct-2021,Seva kutir,Sahariya (ST) & OBC,
480,466,Khairua ka Pura,Pyaripura,M.P,Baroda,Sheopur,Karahal,30-Oct-2021,Shiksha Kutir,"Sahariya ,Gond (ST)",
481,467,Keritola,Jalda,M.P,Bajag,Dindori,Bajag,30-Oct-2021,Study Center,Gond (ST) & OBC,
482,468,Singhpur Mal,Pathariya,M.P,Bajag,Dindori,Bajag,30-Oct-2021,Shiksha Kutir,Gond (ST) & OBC,
483,469,Bijoura,Dhond,M.P,Bajag,Dindori,Bajag,30-Oct-2021,Study Center,Gond (ST) & OBC,
484,470,Dendu,Belpathar,M.P,Harrai,Chhindwara,Harrai,30-Oct-2021,Shiksha Kutir,Gond (ST),
485,471,Nikai,Chargaon,M.P,Harrai,Chhindwara,Harrai,30-Oct-2021,Study Center,Bhariya (ST),
486,472,Dhokheda,Churikala,M.P,Harrai,Chhindwara,Harrai,30-Oct-2021,Shiksha Kutir,Gond (ST),
487,473,Bhond,Chargaon,M.P,Harrai,Chhindwara,Harrai,30-Oct-2021,Study Center,Gond (ST),
488,474,Mohariya,Churikala,M.P,Harrai,Chhindwara,Harrai,30-Oct-2021,Study Center,Gond (ST),
489,475,Sanvlakheda,Champakheda,M.P,Harrai,Chhindwara,Harrai,30-Oct-2021,Shiksha Kutir,Gond (ST) & OBC,
490,476,Karanjidol,Nishana,M.P,Bhimpur,Betul,Bhimpur,30-Oct-2021,Shiksha Kutir,Korku (ST),
491,477,Majarvani,Majarvani,M.P,Bhainsdehi,Betul,Bhimpur,30-Oct-2021,Shiksha Kutir,Korku (ST) & Balai (SC) & OBC,
492,478,Dhokna,Majarvani,M.P,Bhainsdehi,Betul,Bhimpur,30-Oct-2021,Shiksha Kutir,"Gond,Korku (ST)",
493,479,Bhadridhana,Nishana,M.P,Bhimpur,Betul,Bhimpur,31-Oct-2021,Shiksha Kutir,Korku (ST),
494,480,Dhamnya,Majarvani,M.P,Bhainsdehi,Betul,Bhimpur,31-Oct-2021,Seva kutir,"Gond,Korku (ST) & OBC",
495,481,Chopni Khurd,Majarvani,M.P,Bhainsdehi,Betul,Bhimpur,31-Oct-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
496,,Jamnapur,,M.P,Khalwa,Khandwa,Khalwa,31-Oct-2021,Closed,"Gond,Korku (ST) & OBC",
497,482,Pipraha,Rauhal,M.P,Kusmi,Sidhi,Kusmi,31-Oct-2021,Shiksha Kutir,"Gond,Agariya,Baiga (ST) & OBC",
498,483,Binti,Binti,M.P,Bajna,Ratlam,Bajna,31-Oct-2021,Study Center,Bhil (ST),
499,484,Jholi Tambe Binti,Binti,M.P,Bajna,Ratlam,Bajna,31-Oct-2021,Study Center,Bhil (ST),
500,485,Sanwari,Jhirpi,M.P,Sirali,Harda,Khirkiya,14-Nov-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
501,486,Jhirpi,Jhirpi,M.P,Sirali,Harda,Khirkiya,14-Nov-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
502,487,Belapani,Belapani,M.P,Pushprajgarh,Anuppur,Pushprajgarh,20-Nov-2021,Study Center,"Baiga,Panika (ST) & OBC",
503,488,Pipraha,Belapani,M.P,Pushprajgarh,Anuppur,Pushprajgarh,20-Nov-2021,Study Center,"Gond,Agariya,Panika(ST) ",
504,489,Chilhiyamar,Belapani,M.P,Pushprajgarh,Anuppur,Pushprajgarh,20-Nov-2021,Study Center,"Gond,Dholiya,Agariya,Panika(ST) ",
505,490,Mundan Tola,Belapani,M.P,Pushprajgarh,Anuppur,Pushprajgarh,20-Nov-2021,Study Center,"Kol,Gond,Panika(ST) & Chandrawanshi (SC) ",
506,491,Imlidhoh,Nishana,M.P,Bhimpur,Betul,Bhimpur,22-Nov-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
507,492,Nishana,Nishana,M.P,Bhimpur,Betul,Bhimpur,22-Nov-2021,Shiksha Kutir,Korku (ST),
508,493,Hidali,Hidali,M.P,Bhimpur,Betul,Bhimpur,22-Nov-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
509,494,Neemdhana,Hidali,M.P,Bhimpur,Betul,Bhimpur,23-Nov-2021,Shiksha Kutir,"Gond,Korku (ST)",
510,495,Cheera,Hidali,M.P,Bhimpur,Betul,Bhimpur,23-Nov-2021,Shiksha Kutir,"Gond,Korku (ST)",
511,496,Hardadadu,Hidali,M.P,Bhimpur,Betul,Bhimpur,23-Nov-2021,Shiksha Kutir,Gond (ST) & OBC,
512,497,Girwarpur Mal,Dhond,M.P,Bajag,Dindori,Bajag,24-Nov-2021,Study Center,"Gond,Kol (ST) & OBC",
513,498,Basaniya,Karopani,M.P,Bajag,Dindori,Bajag,24-Nov-2021,Study Center,"Gond,Baiga (ST) & OBC",
514,499,Pachgaon Raiyat,Karopani,M.P,Bajag,Dindori,Bajag,24-Nov-2021,Study Center,Baiga (ST),
515,500,Karopani,Karopani,M.P,Bajag,Dindori,Bajag,24-Nov-2021,Study Center,Baiga (ST),
516,501,Bhikha Sahrana,Gadhla,M.P,Karahal,Sheopur,Karahal,25-Nov-2021,Shiksha Kutir,"Sahariya ,Pateliya (ST)",
517,502,Goras,Dhava,M.P,Karahal,Sheopur,Karahal,25-Nov-2021,Shiksha Kutir,Sahariya (ST) & OBC,
518,503,Jodhpura,Binti,M.P,Bajna,Ratlam,Bajna,25-Nov-2021,Study Center,Bhil (ST),
519,504,Haliwada Charpota,Binti,M.P,Bajna,Ratlam,Bajna,25-Nov-2021,Study Center,Bhil (ST),
520,505,Chikni,Binti,M.P,Bajna,Ratlam,Bajna,25-Nov-2021,Study Center,Bhil (ST),
521,,Rajapura Mataji,,M.P,Bajna,Ratlam,Bajna,25-Nov-2021,Closed,Bhil (ST),
522,506,Ghodida,Titvi,M.P,Bhimpur,Betul,Bhimpur,26-Nov-2021,Seva kutir,Korku (ST),
523,507,Kekadiya Kala,Hidali,M.P,Bhimpur,Betul,Bhimpur,26-Nov-2021,Seva kutir,Gond (ST) & OBC,
524,508,Kalyanpur,Hidali,M.P,Bhimpur,Betul,Bhimpur,26-Nov-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
525,509,Sunhadadar,Karopani,M.P,Bajag,Dindori,Bajag,26-Nov-2021,Study Center,"Gond,Pardhan (ST) & Harijan (SC) & OBC",
526,510,Shivri,Karopani,M.P,Bajag,Dindori,Bajag,26-Nov-2021,Study Center,"Gond,Kol (ST) & OBC",
527,511,Koudiya,Karopani,M.P,Bajag,Dindori,Bajag,26-Nov-2021,Study Center,Gond (ST) & OBC,
528,512,Ufri,Karopani,M.P,Bajag,Dindori,Bajag,26-Nov-2021,Study Center,"Gond,Baiga (ST) & OBC",
529,513,Baigantola 2,Karbematta,M.P,Bajag,Dindori,Bajag,26-Nov-2021,Study Center,"Baiga,Gond,Badi (ST) & OBC",
530,514,Budhgaon Mal,Karopani,M.P,Bajag,Dindori,Bajag,27-Nov-2021,Study Center,Gond (ST) & OBC,
531,515,Jeerudhana,Jeerudhana,M.P,Bhainsdehi,Betul,Bhimpur,27-Nov-2021,Shiksha Kutir,Gond (ST) & OBC,
532,516,Jadhiya,Jeerudhana,M.P,Bhainsdehi,Betul,Bhimpur,27-Nov-2021,Shiksha Kutir,"Gond,Korku (ST) & OBC",
533,517,Dhundhari,Jeerudhana,M.P,Bhainsdehi,Betul,Bhimpur,27-Nov-2021,Seva kutir,"Gond,Korku (ST)",
534,518,Baranala,Jhirpi,M.P,Sirali,Harda,Khirkiya,28-Nov-2021,Study Center,"Gond,Korku (ST)",
535,519,Jhapnadeh,Jhirpi,M.P,Sirali,Harda,Khirkiya,28-Nov-2021,Shiksha Kutir,"Gond,Korku (ST)",
536,520,Chagohar,Chagohar,M.P,Kusmi,Sidhi,Kusmi,28-Nov-2021,Study Center,"Gond,Agariya (ST)",
537,521,Harrai,Chagohar,M.P,Kusmi,Sidhi,Kusmi,28-Nov-2021,Study Center,Gond(ST),
538,522,Kotama,Rauhal,M.P,Kusmi,Sidhi,Kusmi,28-Nov-2021,Study Center,"Gond,Panika (ST) & OBC",
539,523,Dewarth Naudhiya,Rauhal,M.P,Kusmi,Sidhi,Kusmi,28-Nov-2021,Shiksha Kutir,"Gond,Agariya,Panika (ST) & OBC",
540,524,Sarrapani,Patalkot,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Study Center,"Gond,Bhariya (ST) & OBC",
541,525,Belkhedi,Belpathar,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond (ST) & OBC,
542,526,Bhoipar,Belpathar,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,"Gond,Bhariya (ST) & OBC",
543,527,Kamthi,Belpathar,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Study Center,"Gond,Bhariya (ST) & Katiya(SC)",
544,528,Belpathar,Belpathar,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond (ST) & Katiya(SC) & OBC,
545,529,Nandramdhana,Palani,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond(ST),
546,530,Nachna,Dungariya,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Study Center,Gond (ST) & OBC,
547,531,Tinsai,Dungariya,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond (ST) & OBC,
548,532,Chhua,Palani,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond (ST) & Mehra (SC) & OBC,
549,533,Malpani,Churikala,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Study Center,"Gond,Bhariya (ST)",
550,534,Devri,Dungariya,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Study Center,Gond(ST),
551,535,Sathiya,Barul,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,"Gond,Pardhan (ST) & OBC",
552,536,Muarsani,Barul,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond (ST) & OBC,
553,537,Teliya,Barul,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond (ST) & OBc,
554,538,Papda,Barul,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,"Gond,Pardhan (ST) & OBC",
555,539,Dabri,Barul,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond (ST) & OBC,
556,540,Umrikhurd,Pathara,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Study Center,Gond(ST),
557,541,Hathikhoh,Pathara,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond (ST) & Mehra (SC),
558,542,Aamdhana,Champakheda,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond(ST),
559,543,Chaurasi,Palani,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Study Center,"Bhariya,Gond,Pardhan (ST) & Katiya (SC)",
560,544,Pathara,Pathara,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond (ST) & OBC,
561,545,Simariya,Palani,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Study Center,Gond (ST) & OBC,
562,546,Saundhni,Pathara,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,"Gond,Pardhan (ST)",
563,547,Jogiwadi,Pathara,M.P,Harrai,Chhindwara,Harrai,28-Nov-2021,Shiksha Kutir,Gond (ST) & Katiya (SC),
564,548,Teram,Jeerudhana,M.P,Bhainsdehi,Betul,Bhimpur,29-Nov-2021,Shiksha Kutir,"Gond,Korku (ST)",
565,549,Patari,Jeerudhana,M.P,Bhainsdehi,Betul,Bhimpur,29-Nov-2021,Seva kutir,"Gond,Korku (ST)",
566,550,Kabra,Jeerudhana,M.P,Bhainsdehi,Betul,Bhimpur,29-Nov-2021,Shiksha Kutir,Gond (ST),
567,551,Medra,Rauhal,M.P,Kusmi,Sidhi,Kusmi,30-Nov-2021,Shiksha Kutir,"Baiga,Gond,Agariya,Panika (ST) & OBC",
568,552,Kalarna,Heerapur,M.P,Sheopur,Sheopur,Karahal,30-Nov-2021,Shiksha Kutir,Sahariya (ST),
569,553,Dengda,Heerapur,M.P,Sheopur,Sheopur,Karahal,30-Nov-2021,Shiksha Kutir,Sahariya (ST) & Jatava (SC) & OBC,
570,554,Darrapani,Bijapuri,M.P,Pushprajgarh,Anuppur,Pushprajgarh,30-Nov-2021,Study Center,"Gond,Baiga (ST) & OBC",
571,555,Sanpuri,Bijapuri,M.P,Pushprajgarh,Anuppur,Pushprajgarh,30-Nov-2021,Study Center,"Gond,Baiga (ST)",
572,556,Pati,Pathara,M.P,Harrai,Chhindwara,Harrai,30-Nov-2021,Shiksha Kutir,Gond (ST) & OBC,
573,557,Raiyaraw,Pathara,M.P,Harrai,Chhindwara,Harrai,30-Nov-2021,Shiksha Kutir,Gond (ST) & Mehra (SC) & OBC,
574,558,Barul,Barul,M.P,Harrai,Chhindwara,Harrai,30-Nov-2021,Shiksha Kutir,"Gond,Pardhan (ST) & Mehra,Deriya (SC) & OBC",
575,559,Bhalpani,Palani,M.P,Harrai,Chhindwara,Harrai,30-Nov-2021,Shiksha Kutir,Gond (ST) & Katiya (SC) & OBC,
576,560,Dhankhodra,Patalkot,M.P,Harrai,Chhindwara,Harrai,30-Nov-2021,Study Center,Bhariya (ST),
577,561,Dugaliya,Jhirpi,M.P,Sirali,Harda,Khirkiya,5-Dec-2021,Study Center,"Gond,Korku (ST)",
578,562,Basigad,Jhirpi,M.P,Sirali,Harda,Khirkiya,5-Dec-2021,Study Center,Korku (ST),
579,563,Madkheda,Umrai,M.P,Pohari,Shivpuri,Pohari,16-Dec-2021,Shiksha Kutir,Sahariya (ST),
580,564,Kakra,Umrai,M.P,Pohari,Shivpuri,Pohari,16-Dec-2021,Shiksha Kutir,Sahariya (ST),
581,565,Dehde,Mahdewa,M.P,Pohari,Shivpuri,Pohari,16-Dec-2021,Shiksha Kutir,Sahariya (ST),
582,566,Umrai,Umrai,M.P,Pohari,Shivpuri,Pohari,16-Dec-2021,Shiksha Kutir,Sahariya (ST),
583,567,Jarwahi,Belapani,M.P,Pushprajgarh,Anuppur,Pushprajgarh,19-Dec-2021,Study Center,"Gond,Baiga (ST) & OBC",
